IPCC_annex;C_group_IM24_sh;Country_code_A3;Name;ipcc_code_2006_for_standard_report;ipcc_code_2006_for_standard_report_name;Substance;fossil_bio;Y_1970;Y_1971;Y_1972;Y_1973;Y_1974;Y_1975;Y_1976;Y_1977;Y_1978;Y_1979;Y_1980;Y_1981;Y_1982;Y_1983;Y_1984;Y_1985;Y_1986;Y_1987;Y_1988;Y_1989;Y_1990;Y_1991;Y_1992;Y_1993;Y_1994;Y_1995;Y_1996;Y_1997;Y_1998;Y_1999;Y_2000;Y_2001;Y_2002;Y_2003;Y_2004;Y_2005;Y_2006;Y_2007;Y_2008;Y_2009;Y_2010;Y_2011;Y_2012;Y_2013;Y_2014;Y_2015;Y_2016;Y_2017;Y_2018;Y_2019;Y_2020;Y_2021;Y_2022;Y_2023;Y_2024
Non-Annex_I;Middle_East;IRQ;Iraq;2.B;Chemical Industry;CO2;fossil;249,4113002;260,2372289;282,1873577;301,6740294;309,1185441;293,8787148;558,2076903;537,9999373;636,4659978;1225,636346;1349,506175;437,49;437,49;437,49;437,49;386,745;380,3841013;380,7302726;924,4041646;1250,030882;772,8713005;91,78794492;458,9397246;1246,95716;532,9571603;532,9571603;532,9571603;532,9571603;532,9571603;524,3028764;473,3028764;661,292451;1218,085225;313,0685802;309,8061086;336,9492393;58,5;58,5;58,5;46,8;268,0333735;293,5967096;285,9447078;273,1240451;230,75004;80,74800966;252,2267027;192,9306949;176,5386907;189,450024;178,16669;178,16669;177,6680236;163,7200299;189,2200299
Non-Annex_I;Middle_East;IRQ;Iraq;2.D;Non-Energy Products from Fuels and Solvent Use;CO2;fossil;72,88074204;74,01986438;75,81427457;74,54619863;78,23446701;80,80956547;83,55332907;89,84869167;94,30447431;111,1561909;100,3412482;102,4462109;82,01040427;93,87563211;100,2586268;108,4010424;112,3160935;111,9212355;112,7668997;125,9524011;118,2085083;107,3584978;140,7768092;176,8186609;183,7819718;180,614873;180,2356723;184,7184215;190,1814358;188,1569749;210,1208655;217,3761101;234,1667526;222,5086887;184,796004;237,567336;227,9027539;153,3556557;193,8508765;194,5245121;180,2676241;209,5635091;186,0809986;211,9416912;154,8908966;158,2820954;161,2979853;169,0761413;173,4195355;185,5003067;113,7789513;128,177145;126,9086699;133,3529503;140,1999077
Non-Annex_I;Middle_East;IRQ;Iraq;3.C.2;Liming;CO2;fossil;62,22857145;62,22857145;62,22857145;62,22857145;80,45714288;147,7142858;118,8;124,4571429;128,8571429;113,1428572;59,71428573;0,628571429;;;;;;;;;;;;54,47619048;79,61904762;52,38095238;84,85714286;89,46666667;107,2761905;72,70476191;57,40952381;35,61904762;;31,84761905;5,447619048;31,21904762;;;;;;6,285714286;31,00952381;43,79047619;22;47,14285714;30,17142857;58,87619048;110,6285714;108,7428571;14,35238095;4,819047619;44;44;44
Non-Annex_I;Middle_East;IRQ;Iraq;3.C.3;Urea application;CO2;fossil;1,0999998;1,0999998;1,0999998;1,0999998;5,971427486;13,67142609;39,75713563;75,58570054;68,1999876;83,75712763;82,65712783;95,07141129;95,38569694;69,61427306;130,1142621;116,2856931;124,1428346;150,0714013;165,942827;121,1571208;108,4285517;111,5714083;103,7142669;314,2856571;314,2856571;314,2856571;314,2856571;314,2856571;314,2856571;345,7142229;345,7142229;356,8713637;690,1713031;;;164,99997;219,057103;167,6713981;216,8571034;235,7142429;191,3999652;206,7999624;209,7856761;259,7570956;311,4570862;237,9142425;362,8427912;200,6713921;237,442814;241,6856703;109,99998;109,99998;111,5714083;93,75141153;78,77759453
Annex_I;OECD_Europe;ISL;Iceland;1.A.1.a;Main Activity Electricity and Heat Production;CO2;fossil;28,4100882;31,56648885;34,72320072;59,97657705;56,81987259;59,97657705;44,19333633;44,19333633;37,87991259;37,87991259;31,56648885;37,69825074;15,60158628;9,40947792;6,25276605;6,25276605;6,25276605;6,25276605;3,15671187;3,15671187;3,15671187;3,15671187;3,15671187;3,67309291;3,67309291;10,05179057;7,07130776;7,07130776;22,55124584;34,95125834;3,99137444;3,99137444;3,99137444;4,02554186;4,03053951;3,97908664;4,53463275;8,43309861;4,78802736;4,6897433;4,71623543;4,42751798;4,4328916;6,46699373;6,31342374;6,31342374;6,31342374;1,97934438;1,7804748;4,93377807;1,76775924;2,55360456;12,15620874;6,467742572;6,70741019
Annex_I;OECD_Europe;ISL;Iceland;1.A.2;Manufacturing Industries and Construction;CO2;fossil;200,4492467;274,7532312;305,7131151;352,1532621;395,6183669;305,591792;351,8499521;373,7036681;451,1036991;518,9374611;522,5116261;426,0358029;406,7337924;465,885325;583,8898491;580,2897918;585,2466713;527,8920595;562,3168701;543,6047866;550,3153509;484,0559397;470,055012;481,1033701;556,6941877;520,0374424;634,8473201;641,5273954;630,4403881;581,0027999;764,8175298;785,621232;824,3364449;772,1288203;837,6311432;798,0600754;728,1636022;702,3866474;614,5223379;511,8840098;493,8926968;471,3385256;490,0352095;520,9498502;499,4361728;495,2275474;134,750881;129,6343009;101,4911856;81,14712027;59,97552464;72,44804378;60,20436881;67,10186787;69,58838379
Annex_I;OECD_Europe;ISL;Iceland;1.A.3.a;Civil Aviation;CO2;fossil;9,240098;9,240098;6,159874;6,159874;3,079937;3,079937;55,35188115;52,2830265;49,2028025;98,39480965;67,649731;67,649731;52,27194415;52,27749555;55,34632975;27,6814884;27,6814884;30,755874;30,755874;30,755874;33,83026675;30,755874;27,6814884;24,6015514;21,5268655;27,675937;30,755874;30,75032975;33,83026675;30,75032975;27,675937;24,6015514;21,5268655;21,5268655;21,5268655;21,5268655;27,675937;21,5268655;27,675937;21,5268655;21,5268655;18,4469285;18,4469285;18,4469285;39,973794;21,5268655;22,0408215;22,40893085;23,9892239;27,12526315;12,9724907;20,23151625;23,49644935;21,79298134;23,11708545
Annex_I;OECD_Europe;ISL;Iceland;1.A.3.b_noRES;Road Transportation no resuspension;CO2;fossil;240,524241;258,9269252;277,2220351;335,479205;304,7724162;341,1477717;316,7541024;319,9108143;359,5504559;350,4027588;356,5013182;368,912706;384,2662525;378,2752674;393,843955;409,1971903;433,8057239;482,9155011;507,3091773;507,4161493;534,8589562;553,2619314;547,3785205;547,4858037;559,7902052;547,2709394;601,9414047;525,2818487;556,0962249;574,7137532;584,3984276;590,6045682;599,9671295;599,9671295;631,1039242;631,1039242;822,3704993;885,6110512;832,4851664;835,559552;788,9619552;779,8650616;768,1297281;780,9714198;759,1968684;800,2334928;876,9114149;926,301179;952,332987;932,9847932;809,1704257;836,7792774;902,002088;897,0769593;930,3188974
Annex_I;OECD_Europe;ISL;Iceland;1.A.3.d;Water-borne Navigation;CO2;fossil;37,69825074;37,69825074;37,69825074;37,69825074;37,69825074;37,69825074;37,69825074;37,69825074;50,324787;47,16807513;44,01136326;130,638574;50,26380423;50,324787;75,03190485;59,67327441;62,76932859;62,76932859;56,45590485;59,55195903;59,55195903;53,23853529;59,49130134;59,55195903;78,24927441;34,4805561;46,98608046;31,32385164;21,9146988;18,93996;15,72259044;21,9146988;15,66224397;18,81864462;18,93996;18,93996;50,14248111;59,12734101;53,4205161;31,32385164;34,54153887;18,93996;12,62653626;15,72259044;18,81864462;25,25337633;27,4551195;31,2351507;42,81387726;52,43014956;24,72937818;17,30808534;24,25253727;16,64817994;16,23965114
Annex_I;OECD_Europe;ISL;Iceland;1.A.3.e;Other Transportation;CO2;fossil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,08669702;0,13907617;0,08338243;0,08970963;1,00785106;0,4915803;0,08037701;0,068011316;0,070531532
